iter	Logloss
0	0.6567585469
1	0.6276270699
2	0.6043051751
3	0.5857403056
4	0.5710587764
5	0.5592436183
6	0.5497773434
7	0.5420476619
8	0.5359959234
9	0.5309765384
10	0.5270015503
11	0.5236948928
12	0.5208765168
13	0.518534399
14	0.5167849824
15	0.5151538103
16	0.513752371
17	0.5125146158
18	0.5112707186
19	0.5104999386
20	0.5097234331
21	0.5088760358
22	0.508331699
23	0.5076641912
24	0.5074872268
25	0.5068976255
26	0.5063821265
27	0.5058714123
28	0.5054909852
29	0.505065697
30	0.5046208173
31	0.5042090931
32	0.5037550181
33	0.503218587
34	0.5026983728
35	0.5021728313
36	0.5017908356
37	0.5014137105
38	0.5010008639
39	0.5006698521
40	0.5002141412
41	0.4996836419
42	0.4991939858
43	0.4989618111
44	0.4985498945
45	0.498257844
46	0.4978237532
47	0.4975386869
48	0.4970080451
49	0.4965288987
50	0.4962085959
51	0.4957934885
52	0.49544383
53	0.4951934512
54	0.4948361683
55	0.4944446862
56	0.4943104198
57	0.4938874647
58	0.4933944949
59	0.4932317152
60	0.4930131764
61	0.4927426375
62	0.4923057468
63	0.4919090746
64	0.4915406032
65	0.4912540326
66	0.4909370364
67	0.4907200413
68	0.4903920347
69	0.489975392
70	0.4896290142
71	0.4893022069
72	0.4888860722
73	0.4883808435
74	0.4878532822
75	0.4875476603
76	0.4871510762
77	0.486854349
78	0.4864391947
79	0.4859811858
80	0.4857748662
81	0.4855107695
82	0.4850033081
83	0.484733858
84	0.4841650859
85	0.4838554501
86	0.4835037848
87	0.4830236009
88	0.4825906818
89	0.4823451892
90	0.4820966975
91	0.4817580772
92	0.4813455736
93	0.4810639398
94	0.4807973768
95	0.4803330631
96	0.4800610714
97	0.4797468977
98	0.4793852597
99	0.4790596697
100	0.4786458493
101	0.4781879328
102	0.4778742083
103	0.4773082474
104	0.4768825817
105	0.4765569302
106	0.476273242
107	0.4759625302
108	0.4756027096
109	0.4752728541
110	0.4748910793
111	0.4744395224
112	0.4739034348
113	0.4733278809
114	0.4730121066
115	0.4726554538
116	0.4722277494
117	0.4718662373
118	0.4716399818
119	0.4712865741
120	0.4710307105
121	0.4707292846
122	0.4703157948
123	0.469931607
124	0.4695725064
125	0.4690794848
126	0.4686706492
127	0.4682389674
128	0.46794419
129	0.4676464646
130	0.4671447865
131	0.466827649
132	0.4663954288
133	0.4660755413
134	0.465789451
135	0.4654040834
136	0.4649933931
137	0.4645736174
138	0.4641300691
139	0.4637510077
140	0.4633162347
141	0.4629306506
142	0.462621333
143	0.4623719225
144	0.4619734405
145	0.4615833601
146	0.4613025694
147	0.4609869679
148	0.460508097
149	0.460018973
150	0.4597202278
151	0.4594473123
152	0.4589571379
153	0.4584476077
154	0.4579707259
155	0.4577182362
156	0.4573994627
157	0.4571340607
158	0.4566676215
159	0.4564504717
160	0.456067927
161	0.4557234371
162	0.4552379338
163	0.4548801619
164	0.4544229673
165	0.4541238731
166	0.453773767
167	0.4532436401
168	0.4529652172
169	0.4525353094
170	0.4522029164
171	0.4518635958
172	0.4516790256
173	0.4513168823
174	0.4510027649
175	0.4508055651
176	0.4504313073
177	0.4501575555
178	0.4497937534
179	0.4494352527
180	0.4490692156
181	0.4484144449
182	0.4480433389
183	0.4476041612
184	0.4472636264
185	0.4471158126
186	0.4468109728
187	0.4464631763
188	0.4461221512
189	0.4458233904
190	0.4454685058
191	0.4451336675
192	0.4448733843
193	0.4445723659
194	0.4441559127
195	0.4438438985
196	0.4435750794
197	0.4432159773
198	0.4428516976
199	0.4425229825
