iter	Passed	Remaining
0	2	474
1	5	497
2	7	493
3	9	469
4	12	472
5	14	468
6	16	461
7	18	448
8	20	440
9	22	432
10	24	426
11	26	422
12	28	416
13	30	409
14	32	405
15	34	399
16	36	393
17	38	387
18	40	382
19	41	377
20	43	371
21	45	367
22	47	362
23	49	361
24	50	353
25	52	350
26	54	348
27	56	345
28	58	343
29	59	339
30	61	335
31	63	335
32	65	333
33	68	332
34	70	332
35	72	330
36	74	327
37	76	325
38	78	322
39	80	321
40	82	319
41	84	318
42	87	318
43	89	316
44	91	315
45	93	312
46	95	310
47	97	307
48	99	305
49	100	302
50	102	299
51	104	297
52	106	294
53	107	291
54	109	288
55	111	286
56	113	284
57	115	282
58	117	279
59	118	277
60	120	275
61	122	272
62	124	270
63	126	268
64	128	265
65	129	263
66	131	261
67	133	258
68	134	256
69	136	253
70	138	251
71	140	249
72	141	246
73	143	244
74	145	242
75	147	240
76	149	238
77	151	236
78	153	234
79	155	232
80	156	230
81	158	228
82	160	226
83	162	224
84	164	222
85	166	220
86	168	218
87	170	216
88	172	214
89	173	212
90	175	210
91	177	208
92	179	206
93	181	204
94	182	202
95	184	200
96	186	198
97	188	196
98	190	194
99	192	192
100	194	190
101	196	188
102	198	187
103	201	185
104	203	184
105	205	182
106	207	180
107	209	178
108	211	176
109	213	174
110	215	172
111	217	170
112	219	168
113	221	166
114	222	164
115	224	162
116	226	160
117	228	158
118	229	156
119	232	154
120	234	153
121	236	151
122	238	149
123	240	147
124	242	145
125	243	143
126	245	141
127	247	139
128	249	137
129	251	135
130	252	133
131	254	131
132	256	129
133	258	127
134	259	125
135	261	123
136	263	121
137	265	119
138	267	117
139	268	115
140	270	113
141	272	111
142	274	109
143	276	107
144	278	105
145	280	103
146	281	101
147	283	99
148	285	97
149	287	95
150	289	93
151	290	91
152	292	89
153	294	87
154	296	86
155	298	84
156	300	82
157	301	80
158	303	78
159	305	76
160	307	74
161	309	72
162	311	70
163	313	68
164	315	66
165	316	64
166	318	62
167	320	61
168	322	59
169	324	57
170	326	55
171	329	53
172	331	51
173	333	49
174	335	47
175	337	46
176	339	44
177	341	42
178	343	40
179	345	38
180	346	36
181	348	34
182	350	32
183	352	30
184	354	28
185	356	26
186	358	24
187	360	23
188	362	21
189	364	19
190	366	17
191	367	15
192	369	13
193	372	11
194	373	9
195	375	7
196	378	5
197	380	3
198	382	1
199	384	0
