iter	Logloss
0	0.5374701321
1	0.5132632532
2	0.5075183382
3	0.5039431605
4	0.5012891241
5	0.4987480113
6	0.4969018192
7	0.4947679248
8	0.492629701
9	0.4907684375
10	0.4880083794
11	0.4859589554
12	0.4835658365
13	0.4817843709
14	0.4789746355
15	0.4758383511
16	0.4746650817
17	0.4728640025
18	0.4708209748
19	0.4690756353
20	0.4670977066
21	0.4646223394
22	0.4625609
23	0.4602473074
24	0.4581923574
25	0.4569607956
26	0.4547795573
27	0.4536505729
28	0.452179943
29	0.45078807
30	0.4488634207
31	0.447351692
32	0.4446415826
33	0.4432193078
34	0.4416770343
35	0.4401185247
36	0.4379131979
37	0.4368610198
38	0.4355113788
39	0.4341419714
40	0.4319751806
41	0.4310587383
42	0.4296252195
43	0.4285145646
44	0.4277222693
45	0.4272177376
46	0.4259878793
47	0.4247135344
48	0.423373947
49	0.421955384
50	0.4203857105
51	0.4188814772
52	0.417873494
53	0.4166944584
54	0.4156771218
55	0.4135933177
56	0.4126801082
57	0.4118031035
58	0.410484478
59	0.4095423282
60	0.4082922212
61	0.4071982557
62	0.4061267123
63	0.4047660436
64	0.4033964774
65	0.402310962
66	0.4014202877
67	0.4000644199
68	0.3991234644
69	0.3976986429
70	0.3969919096
71	0.3958063112
72	0.3944857144
73	0.3930569003
74	0.3921612416
75	0.3909987037
76	0.3898898066
77	0.3885971304
78	0.3872421953
79	0.3861298952
80	0.3851629864
81	0.3841061657
