iter	Passed	Remaining
0	1	1969
1	3	1860
2	5	1806
3	7	1777
4	8	1742
5	10	1779
6	12	1775
7	14	1762
8	15	1751
9	17	1725
10	19	1728
11	20	1717
12	22	1703
13	24	1702
14	25	1693
15	27	1688
16	29	1677
17	31	1703
18	33	1709
19	34	1699
20	36	1701
21	38	1695
22	39	1690
23	41	1695
24	43	1699
25	45	1699
26	47	1698
27	48	1696
28	50	1689
29	52	1689
30	53	1683
31	55	1678
32	57	1672
33	58	1668
34	60	1673
35	62	1673
36	64	1673
37	65	1669
38	67	1665
39	69	1663
40	71	1661
41	72	1658
42	74	1653
43	75	1648
44	77	1646
45	79	1640
46	80	1636
47	82	1631
48	83	1629
49	85	1625
50	87	1623
51	88	1619
52	90	1615
53	92	1613
54	93	1611
55	95	1611
56	97	1607
57	98	1604
58	100	1600
59	102	1598
60	103	1595
61	105	1593
62	106	1589
63	108	1586
64	110	1583
65	111	1581
66	113	1579
67	115	1585
68	117	1584
69	118	1580
70	120	1576
71	122	1573
72	123	1570
73	125	1566
74	126	1563
75	128	1561
76	130	1562
77	132	1560
78	133	1556
79	135	1555
80	137	1555
81	138	1554
